artist_name,number_of_songs,avg_track_popularity,avg_track_duration,artist_popularity,explicit_songs,artist_labels,explicit_dependency
Randy Newman,7,36.86,3.11,59,0,"['singer-songwriter', 'piano', 'soundtrack', 'pop', 'rock']",0.0
Fuse ODG,2,50.5,3.64,59,0,"['azonto', 'afrobeats', 'hiplife']",0.0
PVRIS,3,27.33,3.61,59,0,"['alternative rock', 'electronic', 'rock', 'female vocalists', 'pop punk']",0.0
John Michael Montgomery,4,45.0,3.9,59,0,"['country', 'classic country']",0.0
Bear McCreary,21,29.52,3.38,59,0,"['celtic', 'soundtrack']",0.0
NEIKED,2,65.0,2.9,59,0,"['pop', 'rnb', 'swedish', 'indie', 'sweden']",0.0
gnash,2,62.0,4.18,58,2,"['pop', 'rock', 'grunge', 'american', 'grunge rock']",100.0
Yuki Hayashi,2,57.5,3.62,58,0,"['anime', 'soundtrack']",0.0
Agnes Obel,2,60.0,4.9,58,0,"['folk', 'singer-songwriter', 'female vocalists', 'danish', 'indie']",0.0
Omido,14,43.0,2.76,58,3,['dark r&b'],21.43
Mishaal Tamer,6,52.17,2.89,58,3,"['saudi arabia', 'saudi', 'saudiarabia', 'alternative']",50.0
Desiigner,2,66.0,4.12,58,2,"['hip-hop', 'rap', 'trap', 'hip hop', 'american']",100.0
BEAUZ,3,41.67,2.63,58,0,['hard techno'],0.0
Asaf Avidan,2,48.0,3.48,58,0,"['folk', 'israeli', 'singer-songwriter', 'folk-rock', 'rock']",0.0
Yasuharu Takanashi,23,37.22,2.06,58,0,"['anime', 'soundtrack']",0.0
Crazy Frog,2,63.5,3.03,58,0,"['electronic', 'dance', 'pop', 'techno', 'electronica']",0.0
Evan Call,3,35.33,2.36,58,0,['anime'],0.0
Besomorph,14,31.07,2.62,58,1,['slap house'],7.14
Joy Again,2,38.0,2.99,58,0,"['pennsylvania', 'garage rock', 'usa', 'indie', 'pirate metal']",0.0
KYLE,2,64.0,4.2,58,2,"['hip-hop', 'rap', 'acoustic', 'rnb', 'pop rap']",100.0
Penelope Scott,2,63.0,3.79,58,2,"['singer-songwriter', 'female vocalist', 'usa', 'american', 'chiptune']",100.0
Sir Chloe,4,14.0,3.03,58,0,"['indie rock', 'garage rock', 'alternative', 'indie', 'alternative rock']",0.0
GAYLE,2,55.5,2.54,58,1,"['pop', 'usa', 'female vocalists', 'pop rock', 'upcoming album 2022']",50.0
I DONT KNOW HOW BUT THEY FOUND ME,5,43.2,3.09,57,0,"['indie pop', 'synthpop', 'alternative rock', 'indie', 'indie rock']",0.0
IDLES,3,14.67,3.6,57,1,"['post-punk', 'punk', 'noise rock']",33.33
DRAM,2,60.0,3.75,57,2,"['trap', 'rnb', 'hip-hop', 'hip hop', 'pop rap']",100.0
zandros,2,36.0,2.9,57,0,['dark r&b'],0.0
Thom Yorke,5,42.6,4.34,57,1,"['electronic', 'experimental', 'alternative', 'indie', 'singer-songwriter']",20.0
Lonestar,2,57.5,3.78,57,0,['country'],0.0
Alan Silvestri,5,42.8,2.38,57,0,['soundtrack'],0.0
Billie Marten,2,50.5,4.16,57,0,"['indie pop', 'folk', 'british', 'indie', 'singer-songwriter']",0.0
Steve Jablonsky,6,44.17,4.1,57,0,['soundtrack'],0.0
HEALTH,6,32.17,3.89,57,0,"['noise rock', 'industrial', 'witch house', 'industrial rock', 'industrial metal']",0.0
Mimi Webb,2,53.5,2.69,57,0,"['pop', 'british', 'female vocalist', 'electropop', 'my top songs']",0.0
PJ Harvey,5,49.6,3.52,57,0,"['art pop', 'singer-songwriter', 'alternative rock']",0.0
Unlike Pluto,17,35.06,3.06,57,0,"['electronic', 'dubstep', 'all', 'pop', 'usa']",0.0
Randy Houser,2,61.5,3.04,57,0,"['country', 'acoustic country']",0.0
Umur Anil Gokdag,7,48.71,2.07,56,1,,14.29
Marcin Przybyłowicz,10,47.9,2.35,56,0,"['medieval', 'soundtrack']",0.0
Lorne Balfe,5,30.4,2.42,56,0,['soundtrack'],0.0
Brett Eldredge,2,58.5,3.41,56,0,"['country', 'christmas']",0.0
Brian Tyler,11,34.91,3.14,56,0,['soundtrack'],0.0
Borislav Slavov,10,37.5,3.46,56,0,['medieval'],0.0
Harry Gregson-Williams,6,48.5,2.67,56,0,['soundtrack'],0.0
BANKS,2,47.0,3.02,56,2,"['electronic', 'downtempo', 'pop', 'female vocalists', 'indie']",100.0
Chase Rice,2,56.0,3.8,56,1,"['country', 'acoustic country']",50.0
Hiko,2,0.0,3.54,56,0,['nightcore'],0.0
Jo Dee Messina,2,54.5,3.42,56,0,"['country', 'classic country']",0.0
The Veronicas,3,46.0,3.23,55,0,,0.0
Danit,4,40.0,6.38,55,0,"['acoustic', 'latin', 'usa', 'switzerland', 'spiritual']",0.0
Wheeler Walker Jr.,2,52.5,2.8,55,2,"['outlaw country', 'country']",100.0
Elvis Drew,8,54.75,2.95,55,1,['dark r&b'],12.5
Daniel Di Angelo,2,58.0,3.11,55,2,['dark r&b'],100.0
Westside Connection,2,57.5,4.16,55,2,"['west coast hip hop', 'g-funk', 'gangster rap', 'old school hip hop']",100.0
Patrick Doyle,7,41.86,3.9,55,0,['soundtrack'],0.0
Sonic Youth,2,46.5,5.84,55,0,"['noise rock', 'grunge', 'alternative rock', 'post-punk', 'shoegaze']",0.0
Jesper Kyd,4,49.75,4.19,55,0,['soundtrack'],0.0
Hilary Duff,3,42.67,3.47,55,0,"['pop', 'female vocalists', 'dance', 'hilary duff', 'rock']",0.0
Nicholas Hooper,10,33.7,2.68,55,0,['soundtrack'],0.0
SOFIA ISELLA,5,56.8,3.64,55,1,"['experimental', 'female vocalists', 'art pop', 'indie', 'american']",20.0
Sam Fischer,2,63.5,3.25,55,0,"['pop', 'soul', 'australian', 'indie']",0.0
Wafia,2,18.5,3.44,55,0,"['pop', 'soul', 'australian', 'indie pop', 'rnb']",0.0
Sky Ferreira,13,34.38,4.01,54,0,"['pop', 'electropop', 'electronic', 'female vocalists', 'female vocalist']",0.0
Nino Rota,3,51.0,3.19,54,0,,0.0
Hayley Kiyoko,2,47.5,3.32,54,0,"['pop', 'indie', 'indie pop', 'female vocalists', 'alternative']",0.0
Jessica Pratt,2,28.5,2.42,54,0,['ambient folk'],0.0
DNA,2,66.0,3.8,54,0,,0.0
Sugarland,2,44.0,3.85,54,0,['country'],0.0
HRVY,2,57.0,3.06,54,0,"['pop', 'rnb', 'british', 'male vocalists', 'justin bieber']",0.0
Darren Korb,2,38.0,2.84,54,0,['soundtrack'],0.0
Cat Power,2,34.0,4.16,53,0,"['slowcore', 'singer-songwriter']",0.0
Dorothy,2,44.5,3.47,53,0,['southern gothic'],0.0
Aly & AJ,2,48.5,3.34,53,0,"['pop', 'female vocalists', 'pop rock', 'disney', 'rock']",0.0
Henry Jackman,6,27.17,2.41,53,0,['soundtrack'],0.0
Beneld,6,53.67,2.91,53,0,['dark r&b'],0.0
Charlotte Lawrence,3,45.0,3.0,53,1,"['pop', 'indie pop', 'my top songs', 'female vocalists', 'american']",33.33
El Waili,9,22.0,3.39,53,0,"['egyptian hip hop', 'arabic hip hop', 'egyptian pop', 'mahraganat']",0.0
Bedroom,2,62.0,5.38,52,0,"['chillwave', 'ambient', 'lo-fi', 'folk', 'indie']",0.0
Princess Chelsea,2,0.0,4.02,52,0,['baroque pop'],0.0
Scouting For Girls,3,58.33,3.39,52,0,"['indie', 'british', 'indie pop', 'indie rock', 'alternative']",0.0
RIELL,11,37.09,2.91,52,1,"['canadian', 'pop', 'female vocalists', 'canada', 'alt-pop']",9.09
Gareth Coker,2,44.0,1.94,52,0,['soundtrack'],0.0
Trevor Morris,5,27.4,2.36,52,0,"['medieval', 'soundtrack']",0.0
Kevin Penkin,5,28.4,2.56,52,0,"['anime', 'soundtrack']",0.0
Yaima,3,48.33,4.8,52,0,"['downtempo', 'dub', 'didjeridu', 'chillout', 'electronica']",0.0
Nicholas Bonnin,2,60.5,3.88,52,2,['dark r&b'],100.0
BURY,7,46.86,2.75,52,0,['dark r&b'],0.0
Mark Mancina,2,25.5,2.08,52,0,"['soundtrack', 'instrumental', 'composer', 'anime', 'ost']",0.0
Mikolai Stroinski,8,46.5,2.52,52,0,"['medieval', 'soundtrack']",0.0
Yoshihisa Hirano,8,0.0,1.48,51,0,"['anime', 'soundtrack']",0.0
Rosenfeld,3,20.67,2.82,51,0,['dark r&b'],0.0
Johnning,3,36.0,3.17,51,0,,0.0
Manu Pilas,2,61.5,2.13,51,0,"['pop', 'soundtrack', 'italy']",0.0
KRS-One,2,57.0,4.62,51,1,"['east coast hip hop', 'old school hip hop', 'hip hop', 'hardcore hip hop']",50.0
Allie X,2,25.0,3.4,51,0,"['synthpop', 'electropop', 'pop', 'canadian', 'dance-pop']",0.0
Kae,4,21.75,2.77,50,2,['dark r&b'],50.0
Tyler Bates,4,37.5,1.78,50,0,['soundtrack'],0.0
David Arnold,2,19.5,2.5,50,0,['soundtrack'],0.0
Jerry Goldsmith,2,43.0,2.34,50,0,['soundtrack'],0.0
MOTHICA,2,0.0,2.7,50,2,"['pop', 'indie pop', 'indie', 'electropop', 'american']",100.0
Lil God Dan,2,57.5,2.45,50,0,['cloud rap'],0.0
Yutaka Yamada,2,31.5,2.44,50,0,['anime'],0.0
Adam Hicks,2,58.5,3.38,50,0,"['pop', 'rap', 'electronic', 'dance', 'disney']",0.0
Besomage,6,7.67,2.43,50,0,"['deep house', 'house', 'chill house']",0.0
Mychael Danna,2,26.5,2.03,50,0,['soundtrack'],0.0
Jana Diab,2,16.5,2.48,50,2,['egyptian pop'],100.0
Jann,2,58.0,3.28,50,0,"['pop', 'polish', 'poland', 'indie', 'techno']",0.0
daigoro789,2,0.0,2.63,50,0,"['piano', 'soundtrack', 'solo piano', 'instrumental', 'cinematic']",0.0
Terence Blanchard,2,26.5,1.65,49,0,"['jazz', 'latin jazz']",0.0
Son Lux,12,30.58,2.31,49,0,"['electronic', 'experimental', 'trip-hop', 'ambient', 'indie']",0.0
JD & The Straight Chasers,11,47.91,2.96,49,0,,0.0
Todrick Hall,2,0.0,3.39,49,0,"['pop', 'american idol', 'soul', 'rap', 'hip-hop']",0.0
Woody Jackson,6,45.67,4.18,49,0,"['soundtrack', 'acoustic', 'instrumental', 'video game music', 'western']",0.0
Dan Romer,2,48.0,3.26,49,0,['soundtrack'],0.0
JLS,2,0.0,3.26,49,0,"['pop', 'rnb', 'british', 'x factor', 'boyband']",0.0
Ashley Tisdale,2,34.0,2.98,49,0,"['pop', 'female vocalists', 'dance', 'disney', 'ashley tisdale']",0.0
Last Call,4,53.75,2.52,49,0,"['pop punk', 'melodic punk', 'punk rock', 'hardcore', 'melodic hardcore']",0.0
Morphine,2,43.5,2.02,49,0,"['rock', 'alternative rock', 'indie rock', 'jazz rock', 'blues rock', 'saxophone', 'low rock']",0.0
Hiroaki Tsutsumi,2,35.5,4.22,49,0,['anime'],0.0
